ItemID;Klasör1;Path;Name;Yetki;Tip;Hidden;SonKullanim;İlkKullanim;Kullanim;Kullanici;Ana Konu;Bu rapor neyi gösteriyor?;Ana KPI’lar;Zaman Seviyesi;Kullanılan Filtreler;Hedef Kullanıcı;Yetkili Gruplar / Kullanıcılar;Benzer Raporlar;Not
0F2C617E-12F7-42EA-BFD9-1AD1C09E5F30;Satış/;/Satış/Kullanıcı Performans/Hedef Gerceklestirme Raporu - Kirilimli_Detay2;Hedef Gerceklestirme Raporu - Kirilimli_Detay2;begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;1;6.03.2026;6.03.2026;1.0;1;;;;;;;;;
CEB2C85A-C31B-4D29-A541-1CA3E4F0C274;Satış/;/Satış/Portföy Performans/Yeni Eklenen Firmalar;Yeni Eklenen Firmalar;atakan.zengin  Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  demets  resat.akinsel;Report;0;26.01.2026;18.03.2026;22.0;11;;;;;;;;;
FB67DAAA-C010-4724-A341-1EDF1CE4BE25;Satış/;/Satış/Kullanıcı Performans/Satisci Firma Temas Raporu_Detay;Satisci Firma Temas Raporu_Detay;begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;1;26.12.2025;26.03.2026;2377.0;109;;;;;;;;;
976BB63B-EDDA-4540-A522-2105A5DA1400;Satış/;/Satış/Kullanıcı Performans/Satis Oncesi Takip;Satis Oncesi Takip;Bi Satış  bi Satis Gelistirme  Bi Yönetim  BISecurity  BUILTIN\Administrators  tayfunt;Report;0;21.01.2026;18.03.2026;24.0;8;;;;;;;;;
17528818-8027-4FB8-8605-219D3B425A67;Satış/;/Satış/Portföy Performans/Pasif Firma Temas Raporu;Pasif Firma Temas Raporu;Bi Fiyatlandırma  Bi Satış  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;11.02.2026;24.03.2026;28.0;10;;;;;;;;;
0EBFCC44-25B2-45E8-99AE-23BFA3B6177B;Satış/;/Satış/Portföy Performans/Basvuru Raporu;Basvuru Raporu;Bi Satış  bi Satis Gelistirme  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;26.12.2025;26.03.2026;708.0;42;;;;;;;;;
B24CBD37-F049-4808-94AF-26D517215571;Satış/;/Satış/Kullanıcı Performans/Tahimini Hedef Gerçekleştirme;Tahimini Hedef Gerçekleştirme;Bi Finans  Bi Fiyatlandırma  Bi ik  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  Bi Yönetim  BISecurity  BUILTIN\Administrators;Dashboard;0;27.01.2026;26.02.2026;18.0;4;;;;;;;;;
F3DB0A85-42F8-4D9B-9F26-2BCE21F898A3;Satış/;/Satış/Portföy Performans/Sanal Asistan Raporu_Detay;Sanal Asistan Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;29.01.2026;17.02.2026;5.0;3;;;;;;;;;
BD544577-1285-4EC7-83FE-2D2CB3F91CF9;Satış/;/Satış/Portföy Performans/Sanal Asistan Raporu;Sanal Asistan Raporu;Bi DEM  Bi Fiyatlandırma  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;29.01.2026;10.03.2026;9.0;5;;;;;;;;;
EB942635-12CB-4EFE-B0B9-2E1E95B459F8;Satış/;/Satış/Portföy Performans/Aktarilan Firmalar;Aktarilan Firmalar;Bi Satış  bi Satis Gelistirme  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;14.01.2026;26.03.2026;270.0;45;;;;;;;;;
01A1AABA-6AEB-4BA8-8400-31C700F2845C;Satış/;/Satış/Paylasilan Satislar;Paylasilan Satislar;Bi Satış  bi Satis Gelistirme  BISecurity  BUILTIN\Administrators;Report;0;5.02.2026;5.02.2026;1.0;1;;;;;;;;;
0A4A5640-1329-4086-B0BF-320E59EABCF3;Satış/;/Satış/Referans Listesi;Referans Listesi;Bi Satış  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  ersinu;Report;0;;;1.0;0;;;;;;;;;
A36BAD1D-9E9C-48B0-BC60-35490716377E;Satış/;/Satış/Portföy Performans/Kalan Ilan Oranlari Raporu_Detay;Kalan Ilan Oranlari Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;5.01.2026;26.03.2026;65.0;21;;;;;;;;;
D81C9B77-0F8E-4564-94D1-3592063BA0C4;Satış/;/Satış/Turkiyeyi Mora Boyuyoruz;Turkiyeyi Mora Boyuyoruz;BISecurity  BUILTIN\Administrators  duygu.yuksel  hatun.ozbay  ugur.saglikoglu;Dashboard;0;;;1.0;0;;;;;;;;;
8226B86D-4102-4173-85B1-36D48D372F92;Satış/;/Satış/Kullanıcı Performans/Cagri Dinleme Raporu;Cagri Dinleme Raporu;Bi Kalite Ekibi  Bi MH  Bi Satış  bi Satis Gelistirme  BISecurity  BUILTIN\Administrators;Report;0;25.02.2026;25.02.2026;2.0;1;;;;;;;;;
80BE231F-17C9-4384-A00E-39C96F137449;Satış/;/Satış/Kullanıcı Performans/Stratejik Focus (2025);Stratejik Focus (2025);begumu  Bi Fiyatlandırma  Bi ik  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cenkk  okan.ay;Report;0;26.12.2025;26.03.2026;1408.0;128;;;;;;;;;
