ItemID;Name;Path;Type;CreationDate;ModifiedDate;Hidden
B7C0FF57-3B5F-43A1-A18F-C2F4C231B064;Akıllı İlan;/.KARİYER.NET CORE/Akıllı İlan;13;2021-11-17 17:22:43.030;2024-03-29 11:31:05.910;False
F22A01B3-DBFB-4469-B326-684903411CD2;Akıllı İlan Performansı;/.KARİYER.NET CORE/Akıllı İlan Performansı;13;2021-11-17 16:52:52.077;2023-03-21 12:13:36.223;False
DA2AD5A9-5A20-4A62-A968-5C258B5159CF;Canli Isin Olsun Metrikleri;/.KARİYER.NET CORE/Canli Isin Olsun Metrikleri;13;2020-03-23 15:54:08.213;2024-12-17 18:44:34.317;False
0951655E-26FD-4B4B-9676-996387B50E75;Canli Saatlik Metrikler;/.KARİYER.NET CORE/Canli Saatlik Metrikler;13;2020-04-22 15:06:47.080;2024-12-17 18:44:54.303;False
FAB0AD7D-351D-4276-8EFB-A867F0822BC4;Canli Satis Dashboard;/.KARİYER.NET CORE/Canli Satis Dashboard;13;2018-05-23 08:55:07.793;2026-03-17 13:20:24.253;False
11BE7C8B-B2FD-4502-8D50-D3D832E8CCCD;Cekilen Ilan Sayisi ve Hata Raporu;/.KARİYER.NET CORE/Cekilen Ilan Sayisi ve Hata Raporu;2;2018-04-12 09:22:13.233;2021-12-23 09:05:50.433;False
2C8D9EB2-614C-46A1-A453-74C3EE387EF1;Daily Sales;/.KARİYER.NET CORE/Daily Sales;2;2021-03-22 15:50:33.130;2024-09-11 13:40:10.463;False
91527383-BAB3-47AF-BC1F-08758FB4C5D9;Ek Urun Raporu (YTD Karşılaştırma);/.KARİYER.NET CORE/Ek Urun Raporu (YTD Karşılaştırma);2;2020-09-10 16:55:28.957;2024-06-13 13:12:03.013;False
AEFD1DA3-974A-402F-9A28-BB65E88E7DE6;İlk 100 Gün Ek Ürün Satışı;/.KARİYER.NET CORE/İlk 100 Gün Ek Ürün Satışı;13;2024-11-01 16:45:54.423;2024-11-01 17:22:01.993;False
5AC1E615-65C3-4727-9B36-2FE24FC50887;İşin Olsun Metrikleri;/.KARİYER.NET CORE/İşin Olsun Metrikleri;13;2021-12-10 14:04:52.617;2025-05-29 09:49:48.500;False
9FDAA504-8FBA-43FC-AA20-F557C3D4D3B9;Istihdam  Endeksi;/.KARİYER.NET CORE/Istihdam  Endeksi;13;2019-03-07 16:56:39.547;2024-12-17 19:37:22.873;False
4E10A504-899B-4821-9347-50C345550DE4;Konsolide Firma ve Aday;/.KARİYER.NET CORE/Konsolide Firma ve Aday;13;2021-12-27 09:42:49.243;2022-12-27 12:15:12.540;False
5D19D329-A484-4A95-8560-CC50F3F8E43F;Metrics;/.KARİYER.NET CORE/Metrics;2;2018-04-03 10:07:48.387;2024-12-09 13:51:18.703;False
83940BA1-5BBA-4733-A1F2-B65459F053B6;MTD Gorunum;/.KARİYER.NET CORE/MTD Gorunum;13;2021-04-22 09:34:59.700;2026-03-11 15:24:16.720;False
83BFFE81-95BC-48EA-B770-105EF059E0A7;Pazar Payı-İlan;/.KARİYER.NET CORE/Pazar Payı-İlan;13;2022-02-28 16:25:05.503;2025-05-09 12:14:02.600;False
AEEF6334-51F7-41B7-831C-880CEF36A6CC;Raportal Kullanimi;/.KARİYER.NET CORE/Raportal Kullanimi;2;2018-10-19 13:13:46.787;2023-12-29 11:06:42.827;False
5E0181FE-F556-4D4D-85A0-EBF4B1039308;Rekorlar;/.KARİYER.NET CORE/Rekorlar;2;2018-05-28 16:38:51.360;2021-09-20 11:01:59.040;False
5BEABF20-6C7F-491B-BEFB-23388E048FA6;Rekorlarımız;/.KARİYER.NET CORE/Rekorlarımız;13;2021-12-01 11:11:49.160;2024-03-05 10:13:05.353;False
B9F72722-3090-496F-A4EE-5735E2B6E24D;Satış Aktivite Raporu;/.KARİYER.NET CORE/Satış Aktivite Raporu;13;2024-09-25 16:22:37.197;2026-03-19 10:12:16.860;False
31B77169-6F1B-4299-A5E3-A73821931DEC;Spent;/.KARİYER.NET CORE/Spent;13;2022-12-27 18:44:38.190;2026-01-16 15:47:55.657;False
