ItemID;Name;Path;Type;Description;Hidden;Bu rapor neyi gösteriyor?;Ana KPI'lar
83CA064D-4188-4221-8A76-583978D48F6F;Ikco-Gunluk Satis Raporu Grupsuz;/Subscriptions/Ikco-Gunluk Satis Raporu Grupsuz;2;;False;;
B8EB8C34-3D85-4CE5-A959-A808EC497DC9;Ilan Bazli Basvuru Detayi (R014);/Subscriptions/Ilan Bazli Basvuru Detayi (R014);2;;False;;
EC1667CF-2069-4BAD-B275-C792F9518CB0;Ilan Detay Raporu Donemsel (R007);/Subscriptions/Ilan Detay Raporu Donemsel (R007);2;;False;;
A6E5B209-FA74-485B-AE04-E539229E2007;Isin Olsun Aktiflik Dashboard;/Subscriptions/Isin Olsun Aktiflik Dashboard;2;;False;;
7260B541-63E4-4AB7-A590-A7793809E3E4;Isin Olsun-A101 Raporu;/Subscriptions/Isin Olsun-A101 Raporu;2;;False;;
D3D7CD81-E7A4-47CA-9BCA-06AB13FB87A8;Isin Olsun-Köfteci Yusuf Raporu;/Subscriptions/Isin Olsun-Köfteci Yusuf Raporu;2;;False;;
B166394C-6088-4988-A05C-B23A7C0F7EF1;Isin Olsun-Tespo Raporu;/Subscriptions/Isin Olsun-Tespo Raporu;2;;False;;
9AC63C8F-8BB3-43C1-AD5E-A7F7211683D0;K360 Yeni Tanimlanan Kullanici Bilgilendirmesi;/Subscriptions/K360 Yeni Tanimlanan Kullanici Bilgilendirmesi;2;;False;;
3F39D5AC-7AF1-4BA8-B224-B161A08FF5F4;Kalan Ilan Oranlari Raporu;/Subscriptions/Kalan Ilan Oranlari Raporu;2;;False;;
BED127BE-80BD-4541-95A6-0F77150461F9;KocGrubu (R004);/Subscriptions/KocGrubu (R004);2;;False;;
7A066426-0BAE-48CC-94D6-664FA5645E90;Matriks Raporu;/Subscriptions/Matriks Raporu;2;;False;;
6E74EF0C-41FC-42B4-898F-70755A05A4F7;Organize Kullanici Bilgileri;/Subscriptions/Organize Kullanici Bilgileri;2;;False;;
4EFD7B7D-776E-47F8-A349-E7AF297A8AAA;Pronet Bayi Projesi;/Subscriptions/Pronet Bayi Projesi;2;;False;;
1475B505-E26B-441A-9711-30B030510B87;Satis Gelistirme - Cekilis;/Subscriptions/Satis Gelistirme - Cekilis;2;;False;;
