ItemID;Name;Path;Hidden;URL
3CFF7666-31E8-4CF8-8A27-13291D529363;Techcareer.net;/Model/Techcareer.net;False;https://raportal.kariyer.net/home/report/Model/Techcareer.net
2461E56C-31A4-4DA3-8E16-AADE7D786EB8;Teklif Raporu;/Satış/Portföy Performans/Teklif Raporu;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Teklif%20Raporu
1B635E14-33F5-4AFB-9EB1-F7572BDDC47D;Teknoloji Ilan Takibi-Memnuniyet Aramaları;/AZR Sorgu/Teknoloji Ilan Takibi-Memnuniyet Aramaları;False;https://raportal.kariyer.net/home/report/AZR%20Sorgu/Teknoloji%20Ilan%20Takibi-Memnuniyet%20Aramalar%C4%B1
592C3EC7-3099-451A-BE29-3EB8893E84EA;Tekrarlı Yayınlanan Ilanlar;/WeConsulting/Tekrarlı Yayınlanan Ilanlar;False;https://raportal.kariyer.net/home/report/WeConsulting/Tekrarl%C4%B1%20Yay%C4%B1nlanan%20Ilanlar
C6C0B1C4-C38F-48D4-81D5-F6F52B6F5DE1;Tele Satis Firma Arama Analizi;/Satış/Kullanıcı Performans/Tele Satis Firma Arama Analizi;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Tele%20Satis%20Firma%20Arama%20Analizi
F982FB1F-98CD-44F0-A426-9FFE2CA4B203;Tespo;/Pazarlama ve Ürün Yönetimi/İşin Olsun/Tespo;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fin%20Olsun/Tespo
6BDA58EC-355D-497C-94C1-D5395DEFB9EC;Turkcell (R004);/Subscriptions/Turkcell (R004);False;https://raportal.kariyer.net/home/report/Subscriptions/Turkcell%20%28R004%29
D81C9B77-0F8E-4564-94D1-3592063BA0C4;Turkiyeyi Mora Boyuyoruz;/Satış/Turkiyeyi Mora Boyuyoruz;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Turkiyeyi%20Mora%20Boyuyoruz
F1112BF2-D3DD-4BB3-BF55-870590C25EF0;Upsell-Downsell Raporu;/Pazarlama ve Ürün Yönetimi/İşveren/Upsell-Downsell Raporu;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fveren/Upsell-Downsell%20Raporu
1E578D32-0391-4C85-9DE9-7D3ACC3C077F;Uyelik Yili - Mezuniyet Yili Cohort;/Pazarlama ve Ürün Yönetimi/Aday/Uyelik Yili - Mezuniyet Yili Cohort;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/Aday/Uyelik%20Yili%20-%20Mezuniyet%20Yili%20Cohort
435EFD8D-C339-4DCC-AD60-6FFBE3EB2D74;Vadeli Sozlesme Odemeleri;/Finans/Vadeli Sozlesme Odemeleri;False;https://raportal.kariyer.net/home/report/Finans/Vadeli%20Sozlesme%20Odemeleri
F18585A7-E2F5-4749-93CD-04AFCD0636CF;Veri Guncelleme Ekip Raporu;/Müşteri İlişkileri/Veri Guncelleme Ekip Raporu;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Veri%20Guncelleme%20Ekip%20Raporu
2ADD2DC1-1629-4CA7-A96B-9F502C81C5B4;Veri Kontrol Raporu;/Teknoloji ve İnovasyon/Veri Kontrol Raporu;False;https://raportal.kariyer.net/home/report/Teknoloji%20ve%20%C4%B0novasyon/Veri%20Kontrol%20Raporu
B57D0E47-ED04-4F2C-AB6C-5581D09893B3;Verimlilik Raporu;/Müşteri İlişkileri/Verimlilik Raporu;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Verimlilik%20Raporu
02FE54EC-2178-47DC-8F28-99D9DC601978;WeBrand;/WeConsulting/WeBrand;False;https://raportal.kariyer.net/home/report/WeConsulting/WeBrand
2CC78645-96DC-491F-BF3C-07DB0C46B0B8;WeBrand Teklif ve Satışları;/WeConsulting/WeBrand Teklif ve Satışları;False;https://raportal.kariyer.net/home/report/WeConsulting/WeBrand%20Teklif%20ve%20Sat%C4%B1%C5%9Flar%C4%B1
8C6F3365-0A20-42A2-BEC1-9A90CB481594;WeBrand Teklif ve Satışları;/Model/WeBrand Teklif ve Satışları;False;https://raportal.kariyer.net/home/report/Model/WeBrand%20Teklif%20ve%20Sat%C4%B1%C5%9Flar%C4%B1
D81FD98A-2D69-496E-9A94-AD11E1700629;WeConsulting;/WeConsulting/WeConsulting;False;https://raportal.kariyer.net/home/report/WeConsulting/WeConsulting
FE8F5C86-C25E-4EBD-A916-530CB2D20D98;WeConsulting-Satışlar;/WeConsulting/WeConsulting-Satışlar;False;https://raportal.kariyer.net/home/report/WeConsulting/WeConsulting-Sat%C4%B1%C5%9Flar
BC55BBB4-3AEA-4CD1-97F5-3FE99534FED0;WeHire Firma Kümeleri;/Satış/Portföy Performans/WeHire Firma Kümeleri;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/WeHire%20Firma%20K%C3%BCmeleri
99715BDF-147F-48F6-9A84-2228241B0DE3;WeHire Gelir Raporu;/WeConsulting/WeHire Gelir Raporu;False;https://raportal.kariyer.net/home/report/WeConsulting/WeHire%20Gelir%20Raporu
E2028D45-B7D2-442F-A53D-805733913D74;WeHire Referans Listesi;/Satış/WeHire Referans Listesi;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/WeHire%20Referans%20Listesi
3DB716D7-B450-4DEF-973E-F36333935AA7;WeHire Teklifleri;/WeConsulting/WeHire Teklifleri;False;https://raportal.kariyer.net/home/report/WeConsulting/WeHire%20Teklifleri
610DA47F-6A11-4ACC-B152-E3004A4159AB;WeHire İptalleri;/WeConsulting/WeHire İptalleri;False;https://raportal.kariyer.net/home/report/WeConsulting/WeHire%20%C4%B0ptalleri
69677E26-CEAA-495F-9AC2-C5794196F21E;WeeklyTopline;/Pazarlama ve Ürün Yönetimi/WeeklyTopline;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/WeeklyTopline
CEB2C85A-C31B-4D29-A541-1CA3E4F0C274;Yeni Eklenen Firmalar;/Satış/Portföy Performans/Yeni Eklenen Firmalar;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Yeni%20Eklenen%20Firmalar
2826E2EB-86C7-4121-BC81-9FA6CB0B0FAF;Yenilememe Risk Alarmları;/Satış/Portföy Performans/Yenilememe Risk Alarmları;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Yenilememe%20Risk%20Alarmlar%C4%B1
17769DE0-F7DD-4A39-84ED-4C33F0BBD057;Yenilemesi Gelen Firmalar;/Satış/Portföy Performans/Yenilemesi Gelen Firmalar;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Yenilemesi%20Gelen%20Firmalar
EE15F0F6-7ABC-4AFE-AD5A-2B7751583893;Yıllık Kariyer.net KPIs;/.KARİYER.NET CORE/Yıllık Kariyer.net KPIs;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Y%C4%B1ll%C4%B1k%20Kariyer.net%20KPIs
D0C27630-91B1-4590-A870-4F59A736F81E;Ziyaret Talepleri;/Satış/Portföy Performans/Ziyaret Talepleri;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Ziyaret%20Talepleri
8C4580B1-3464-4169-84F0-0A06E36BBF6B;_Satışlar;/Satış/_Satışlar;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/_Sat%C4%B1%C5%9Flar
CFEFFF13-58E3-4FC1-B07F-1026AB8EDCA1;Çağrı-Kalite Puanları;/Satış/Kullanıcı Performans/Çağrı-Kalite Puanları;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/%C3%87a%C4%9Fr%C4%B1-Kalite%20Puanlar%C4%B1
B5618629-082A-4E80-82D9-F7711BD36DB2;İKÇO ve Ekip Paket Satış Dashboardu;/Satış/İKÇO ve Ekip Paket Satış Dashboardu;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/%C4%B0K%C3%87O%20ve%20Ekip%20Paket%20Sat%C4%B1%C5%9F%20Dashboardu
592B2F99-2681-4C1E-92B4-2D05D0EC113C;İYS;/Pazarlama ve Ürün Yönetimi/İYS;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0YS
046B7EF4-D66D-409C-913E-266E75CA121B;İlan Başı Başvuru;/Pazarlama ve Ürün Yönetimi/Aday/İlan Başı Başvuru;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/Aday/%C4%B0lan%20Ba%C5%9F%C4%B1%20Ba%C5%9Fvuru
1DAB6A6A-70E7-43F4-A2F0-7CB6ACF3F03A;İlan Ligi-V2;/Pazarlama ve Ürün Yönetimi/İlan Ligi-V2;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0lan%20Ligi-V2
AEFD1DA3-974A-402F-9A28-BB65E88E7DE6;İlk 100 Gün Ek Ürün Satışı;/.KARİYER.NET CORE/İlk 100 Gün Ek Ürün Satışı;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/%C4%B0lk%20100%20G%C3%BCn%20Ek%20%C3%9Cr%C3%BCn%20Sat%C4%B1%C5%9F%C4%B1
F6FE8A5E-9BED-49C9-AFDB-BFB084E05C95;İlk Temas Ekibi-İşin Olsun Banner Tipi Formlar;/Müşteri İlişkileri/İlk Temas Ekibi-İşin Olsun Banner Tipi Formlar;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/%C4%B0lk%20Temas%20Ekibi-%C4%B0%C5%9Fin%20Olsun%20Banner%20Tipi%20Formlar
